Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,"Total Population (All Years, per Customer)","Total Population (All Customers, All Years)",,Customer ID,Customer Name,Customer Type,School Level,Public or Private,Loc ID,,Loc ID,District,Coordinates
0,0,Inventory,,,,,0,2014,0.00,Calculated,0,821019,,1,Bright Community PS,School,Primary,,1,,1,Kampala,"0.3601293708966226, 32.58169066738784"
1,1,Bright Community PS #1,Lighting Only,Decommissioned,4/26/2015,,1,2015,728.00,Calculated,3710,,,2,91Four RH,Rehabilitation Centre,,Private,2,,2,Kampala,"0.3818776634871091, 32.57618722331179"
2,2,91Four RH #1,Lighting Only,Decommissioned,4/27/2015,,1,2016,732.00,Calculated,3710,,,3,New ABC Divine Mutundwe PS,School,Primary,Private,3,,3,Kampala,"0.2880507249189125, 32.52928308687008"
3,3,New ABC Divine Mutundwe PS #1,Lighting Only,Decommissioned,2/1/2015,,1,2017,750.00,Calculated,3710,,,4,Uplands SS,School,Secondary,,4,,4,Kampala,"0.28906203271888836, 32.53644067260716"
4,4,Uplands SS #1,Lighting Only,Decommissioned,4/19/2015,,1,2018,750.00,Inferred,3710,,,5,Kingstone College SS,School,Secondary,,5,,5,Kayunga,"0.6861210742424927, 32.91984195092618"
5,5,Kingstone College SS #1,Lighting Only,Decommissioned,5/30/2016,,1,2019,750.00,Inferred,3710,,,6,Amity SSS,School,Secondary,,6,,6,Wakiso,"0.35465650364677953, 32.51957103512591"
6,6,Amity SSS #1,Lighting Only,Offline,11/7/2016,,3,2015,67.00,Calculated,2440,,,7,Busega PS,School,Primary,,7,,7,Kampala,"0.3132312882486539, 32.53188300491036"
6,7,Amity SSS #2,Lighting Only,Offline,11/7/2016,,3,2016,67.00,Inferred,2440,,,8,Mackay Memorial PS,School,Primary,Public,8,,8,Kampala,"0.30903486607385955, 32.535037367671556"
7,8,Busega PS #1,Lighting Only,Offline,11/30/2016,,3,2017,67.00,Inferred,2440,,,9,Rubaga Mixed SS,School,Secondary,Private,9,,9,Kampala,"0.3022943,32.5514174"
7,9,Busega PS #2,Lighting Only,Offline,11/30/2016,,3,2018,67.00,Inferred,2440,,,10,Bussiiro SSS,School,Senior Secondary,,10,,10,Luuka,"0.6598452014037094, 33.32671934168296"
