Customer ID,Customer Name,Customer Type,Loc ID,,Loc ID,District,Coordinates,,,Latitude ,Longitude,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,Latest Population (per Customer ID),Total Population (Latest Year Only) ,Latest year for this row’s customer,Is this row the latest year for that customer?,Population (Latest Year Only),Total Population (Latest Year Only),,"Total Population (Latest Year Only) AI Version I can't understand, here for sanity check"
1,Bright Community PS,School,1,,1,Kampala,"0.3601293708966226, 32.58169066738784",,,0.3601293709,32.58169067,,0,0,Inventory,,,,,0,0,Inventory,,,,,0,2014,0.00,Calculated,0,"140,007.00",2014,TRUE,0.00,"140,007.00",,140007
2,91Four RH,Rehabilitation Centre,2,,2,Kampala,"0.3818776634871091, 32.57618722331179",,,0.3818776635,32.57618722,,1,1,Bright Community PS #1,Lighting Only,Decommissioned,4/26/2015,,1,1,Bright Community PS #1,Lighting Only,Decommissioned,4/26/2015,,1,2015,728.00,Calculated,750,,2019,FALSE,,,,
3,New ABC Divine Mutundwe PS,School,3,,3,Kampala,"0.2880507249189125, 32.52928308687008",,,0.2880507249,32.52928309,,2,2,91Four RH #1,Lighting Only,Decommissioned,4/27/2015,,2,2,91Four RH #1,Lighting Only,Decommissioned,4/27/2015,,1,2016,732.00,Calculated,750,,2019,FALSE,,,,
4,Uplands SS,School,4,,4,Kampala,"0.28906203271888836, 32.53644067260716",,,0.2890620327,32.53644067,,3,3,New ABC Divine Mutundwe PS #1,Lighting Only,Decommissioned,2/1/2015,,3,3,New ABC Divine Mutundwe PS #1,Lighting Only,Decommissioned,2/1/2015,,1,2017,750.00,Calculated,750,,2019,FALSE,,,,
5,Kingstone College SS,School,5,,5,Kayunga,"0.6861210742424927, 32.91984195092618",,,0.6861210742,32.91984195,,4,4,Uplands SS #1,Lighting Only,Decommissioned,4/19/2015,,4,4,Uplands SS #1,Lighting Only,Decommissioned,4/19/2015,,1,2018,750.00,Inferred,750,,2019,FALSE,,,,
6,Amity SSS,School,6,,6,Wakiso,"0.35465650364677953, 32.51957103512591",,,0.3546565036,32.51957104,,5,5,Kingstone College SS #1,Lighting Only,Decommissioned,5/30/2016,,5,5,Kingstone College SS #1,Lighting Only,Decommissioned,5/30/2016,,1,2019,750.00,Inferred,750,,2019,TRUE,750.00,,,
7,Busega PS,School,7,,7,Kampala,"0.3132312882486539, 32.53188300491036",,,0.3132312882,32.531883,,6,6,Amity SSS #1,Lighting Only,Offline,11/7/2016,,6,6,Amity SSS #1,Lighting Only,Offline,11/7/2016,,3,2015,67.00,Calculated,543,,2022,FALSE,,,,
8,Mackay Memorial PS,School,8,,8,Kampala,"0.30903486607385955, 32.535037367671556",,,0.3090348661,32.53503737,,6,7,Amity SSS #2,Lighting Only,Offline,11/7/2016,,6,7,Amity SSS #2,Lighting Only,Offline,11/7/2016,,3,2016,67.00,Inferred,543,,2022,FALSE,,,,
9,Rubaga Mixed SS,School,9,,9,Kampala,"0.3022943,32.5514174",,,0.3022943,32.5514174,,7,8,Busega PS #1,Lighting Only,Offline,11/30/2016,,7,8,Busega PS #1,Lighting Only,Offline,11/30/2016,,3,2017,67.00,Inferred,543,,2022,FALSE,,,,
10,Bussiiro SSS,School,10,,10,Luuka,"0.6598452014037094, 33.32671934168296",,,0.6598452014,33.32671934,,7,9,Busega PS #2,Lighting Only,Offline,11/30/2016,,7,9,Busega PS #2,Lighting Only,Offline,11/30/2016,,3,2018,67.00,Inferred,543,,2022,FALSE,,,,
