Customer ID,Customer Name,Customer Type,School Level,Year,Year (datetime),Population,Install Date,Install Year,Decommission Date,Decommission Year,Coordinates,Source
0,,,,2014,2014-01-01,0,2014-01-01,2014,2026-01-01,2026,,Calculated
1,Bright Community PS,School,Primary,2015,2015-01-01,728,2015-04-26,2015,2019-04-01,2019,"0.3601293708966226, 32.58169066738784",Calculated
1,Bright Community PS,School,Primary,2016,2016-01-01,732,2015-04-26,2015,2019-04-01,2019,"0.3601293708966226, 32.58169066738784",Calculated
1,Bright Community PS,School,Primary,2017,2017-01-01,750,2015-04-26,2015,2019-04-01,2019,"0.3601293708966226, 32.58169066738784",Calculated
1,Bright Community PS,School,Primary,2018,2018-01-01,750,2015-04-26,2015,2019-04-01,2019,"0.3601293708966226, 32.58169066738784",Inferred
1,Bright Community PS,School,Primary,2019,2019-01-01,750,2015-04-26,2015,2019-04-01,2019,"0.3601293708966226, 32.58169066738784",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2015,2015-01-01,67,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Calculated
3,New ABC Divine Mutundwe PS,School,Primary,2016,2016-01-01,67,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2017,2017-01-01,67,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2018,2018-01-01,67,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2019,2019-01-01,543,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Calculated
3,New ABC Divine Mutundwe PS,School,Primary,2020,2020-01-01,543,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2021,2021-01-01,543,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
3,New ABC Divine Mutundwe PS,School,Primary,2022,2022-01-01,543,2015-02-01,2015,2022-11-15,2022,"0.2880507249189125, 32.52928308687008",Inferred
4,Uplands SS,School,Secondary,2015,2015-01-01,315,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Calculated
4,Uplands SS,School,Secondary,2016,2016-01-01,320,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Calculated
4,Uplands SS,School,Secondary,2017,2017-01-01,350,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Calculated
4,Uplands SS,School,Secondary,2018,2018-01-01,350,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Inferred
4,Uplands SS,School,Secondary,2019,2019-01-01,350,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Inferred
4,Uplands SS,School,Secondary,2020,2020-01-01,350,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Inferred
4,Uplands SS,School,Secondary,2021,2021-01-01,350,2015-04-19,2015,2021-02-22,2021,"0.28906203271888836, 32.53644067260716",Inferred
5,Kingstone College SS,School,Secondary,2016,2016-01-01,385,2016-05-30,2016,2019-11-27,2019,"0.6861210742424927, 32.91984195092618",Inferred
5,Kingstone College SS,School,Secondary,2017,2017-01-01,385,2016-05-30,2016,2019-11-27,2019,"0.6861210742424927, 32.91984195092618",Inferred
5,Kingstone College SS,School,Secondary,2018,2018-01-01,322,2016-05-30,2016,2019-11-27,2019,"0.6861210742424927, 32.91984195092618",Calculated
5,Kingstone College SS,School,Secondary,2019,2019-01-01,364,2016-05-30,2016,2019-11-27,2019,"0.6861210742424927, 32.91984195092618",Calculated
6,Amity SSS,School,Secondary,2016,2016-01-01,0,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Calculated
6,Amity SSS,School,Secondary,2017,2017-01-01,403,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Calculated
6,Amity SSS,School,Secondary,2018,2018-01-01,414,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Calculated
6,Amity SSS,School,Secondary,2019,2019-01-01,491,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Calculated
6,Amity SSS,School,Secondary,2020,2020-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Calculated
6,Amity SSS,School,Secondary,2021,2021-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Inferred
6,Amity SSS,School,Secondary,2022,2022-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Inferred
6,Amity SSS,School,Secondary,2023,2023-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Inferred
6,Amity SSS,School,Secondary,2024,2024-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Inferred
6,Amity SSS,School,Secondary,2025,2025-01-01,552,2016-11-07,2016,2026-01-01,2026,"0.35465650364677953, 32.51957103512591",Inferred
